logRBAemp,docking_score
1.049973975,-35.5734
0.884606581,-38.2623
0.817659792,-41.17
0.759667845,-42.67
0.708515322,-35.5568
0.361727836,-36.5381
0.28254659,-36.2167
0.200359834,-19.9829
0.171396138,-29.269
0.157607853,-21.8337
0.019305155,-34.2857
-0.018483406,-20.2422
-0.044812344,-35.7571
-0.073638671,-20.5364
-0.085430195,-19.9818
-0.156786104,-22.6067
-0.182340208,-21.3568
-0.182340208,-23.126
-0.194574665,-22.361
-0.218055761,-23.562
-0.249995472,-24.046
-0.291484678,-36.434
-0.324908433,-22.1413
-0.337242168,-15.3416
-0.337242168,-17.2956
-0.337242168,-22.4132
-0.382565147,-22.5489
-0.409124176,-19.2014
-0.409492066,-21.977
-0.416423414,-35.5639
1.049973975,-38.58
0.662757832,-49.05
